S.No,Security Domain,Controls,Questions,Information obtained from Architecture Review Document,Vardaan Team Response
1,Application & Deployment Architecture,Documentation & Trust Boundaries,Is the application designed using a layered or multi-tier architecture with clearly defined trust boundaries?,"Multi-tier architecture separating client, backend and data layers were clearly defined. However, explicit trust boundaries (e.g. network segmentation, private subnets, firewall rules, security zones) are not documented.",
2,,Network Segmentation ,Are different application modules logically isolated to prevent cross-module risks?,GRC and TPRM are separate backend modules with separate frontends,
3,,Network Segmentation ,"Are development, staging, and production environments logically and physically separated?","Separate production, staging, and development environments defined",
4,,Data Segregation Control,Is data segregation enforced between environments to prevent leakage of production data into non-production systems?,,
5,,API Gateway / WAF,Is a reverse proxy or API gateway used to isolate backend services from direct internet access?,Nginx/Apache used as reverse proxy for backend APIs,
6,,Traffic Management & Service Mesh Security Control,Are load balancers or service meshes implemented to manage traffic securely and efficiently?,,
7,Authentication & Identity Management,Centralized IdP  ,Are strong authentication mechanisms implemented?,"JWT, MFA (email OTP), Google OAuth SSO supported",
8,,MFA / Step-up  ,Is MFA enforcement mandatory for administrators and external users?,,
9,,Session Management  ,Are access and refresh token lifetimes clearly defined?  ,"Access token 1 hour, refresh token 7 days",
10,,Session Management  ,Is refresh token rotation and revocation supported?  ,Token rotation and blacklist enabled,
11,,OWASP Top 10 Controls  ,Is brute-force protection implemented for authentication endpoints?  ,IP-based rate limiting and username-based account lockout,
12,,OWASP Top 10 Controls  ,Is CAPTCHA or equivalent control used to mitigate automated login attacks?  ,Google reCAPTCHA integrated with login,
13,,Password Policy Enforcement Control,"Are password policies defined and enforced (complexity, expiration, reuse prevention)?",,
14,,Identity Lifecycle Management Control,"Is identity lifecycle management defined (provisioning, de-provisioning, suspension)?  ",User provisioning via APIs and OAuth,
15,,Security Logging  ,"Are authentication logs monitored for anomalies (e.g., failed login attempts, unusual geolocation)?",,
16,,Account Lifecycle & Hygiene Control,Are inactive or stale accounts automatically disabled or flagged for review?,,
17,Session Management,Session Management,"Is session hijacking prevention implemented to prevent attackers from stealing or reusing session identifiers to impersonate users. (e.g., secure cookie flags, token binding)?",,
18,,Session Management,Is session-based authentication used in addition to token-based authentication?,Django database-backed sessions are enabled,
19,,Session Management,Are session lifetimes explicitly configured?,Session lifetime set to 7 days,
20,,Session Management,"Are secure cookie attributes enforced for sessions in production (Secure, HttpOnly, SameSite)? which prevents cookies from being accessed via JavaScript or sent over insecure channels. Essential for compliance.  ",Secure and HttpOnly flags configurable but disabled by default,
21,,Validation & Encoding,Are CSRF protections enabled?,CSRFViewMiddleware enabled; Cookie attributes such as Secure and HttpOnly are disabled and trusted origins are not restricted.,
22,,Session Management,Are session identifiers regenerated after login?,,
23,,API Gateway / WAF  ,Are CORS origins restricted to trusted domains to prevent unauthorized domains from making authenticated requests?  ,CORS_ALLOW_ALL_ORIGINS = True (dev only),
24,,Session Management,Are idle session timeouts enforced (automatic logout after inactivity)? ,,
25,,Session Management,Are concurrent sessions for the same user monitored or restricted?  ,,
26,,Session Management,Is session invalidation on logout implemented? - To ensure tokens and sessions cannot be reused after logout?  ,JWT blacklist on logout,
